Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign Percentage,Year
66,Shrek 2,"$928,760,770 ","$441,226,247 ",47.50%,"$487,534,523 ",52.50%,2004
156,Star Wars: Episode II - Attack of the Clones,"$653,779,970 ","$310,676,740 ",47.50%,"$343,103,230 ",52.50%,2002
35,Star Wars: Episode IX - The Rise of Skywalker,"$1,077,022,372 ","$515,202,542 ",47.80%,"$561,819,830 ",52.20%,2019
112,The Batman,"$770,945,583 ","$369,345,583 ",47.90%,"$401,600,000 ",52.10%,2022
89,Transformers: Revenge of the Fallen,"$836,303,693 ","$402,111,870 ",48.10%,"$434,191,823 ",51.90%,2009
12,Top Gun: Maverick,"$1,488,732,821 ","$718,732,821 ",48.30%,"$770,000,000 ",51.70%,2022
144,Forrest Gump,"$678,226,465 ","$330,455,270 ",48.70%,"$347,771,195 ",51.30%,1994
21,Incredibles 2,"$1,243,225,667 ","$608,581,744 ",49%,"$634,643,923 ",51%,2018
81,The Hunger Games: Catching Fire,"$865,011,746 ","$424,668,047 ",49.10%,"$440,343,699 ",50.90%,2013
90,Spider-Man,"$825,025,036 ","$407,022,860 ",49.30%,"$418,002,176 ",50.70%,2002
166,Iron Man 2,"$623,933,331 ","$312,433,331 ",50.10%,"$311,500,000 ",49.90%,2010
186,"Monsters, Inc.","$579,707,738 ","$290,642,256 ",50.10%,"$289,065,482 ",49.90%,2001
91,Wonder Woman,"$822,854,286 ","$412,845,172 ",50.20%,"$410,009,114 ",49.80%,2017
40,Rogue One: A Star Wars Story,"$1,058,682,142 ","$533,539,991 ",50.40%,"$525,142,151 ",49.60%,2016
15,Black Panther,"$1,349,926,083 ","$700,426,566 ",51.90%,"$649,499,517 ",48.10%,2018
84,Black Panther: Wakanda Forever,"$858,082,190 ","$453,743,634 ",52.90%,"$404,338,556 ",47.10%,2022
50,The Dark Knight,"$1,006,234,167 ","$534,987,076 ",53.20%,"$471,247,091 ",46.80%,2008
184,Iron Man,"$585,796,247 ","$319,034,126 ",54.50%,"$266,762,121 ",45.50%,2008
100,E.T. the Extra-Terrestrial,"$792,910,554 ","$437,141,279 ",55.10%,"$355,769,275 ",44.90%,1982
141,The Hunger Games,"$694,394,724 ","$408,010,692 ",58.80%,"$286,384,032 ",41.20%,2012
108,Star Wars: Episode IV - A New Hope,"$775,398,007 ","$460,998,507 ",59.40%,"$314,399,500 ",40.60%,1977
173,The Passion of the Christ,"$612,054,506 ","$370,782,930 ",60.60%,"$241,271,576 ",39.40%,2004
199,American Sniper,"$547,459,020 ","$350,159,020 ",64%,"$197,300,000 ",36%,2014
